borehole_id,latitude,longitude,depth_m,swir1,swir2,swir_ratio,lst_temp_c,ndvi,soil_moisture,mn_grade_pct,probability,lithology
BH-MOIL-1001,21.81325414387663,80.14670086041782,78.6,0.194,0.24,1.237,34.74,0.516,0.326,23.02,0.267,Quartz-Spessartite Rock
BH-MOIL-1002,21.77959103798429,80.18512842304827,30.2,0.186,0.218,1.172,33.08,0.377,0.477,31.7,0.492,Quartz-Spessartite Rock
BH-MOIL-1003,21.826565540146625,80.20055115159906,91.3,0.171,0.242,1.415,31.6,0.358,0.329,33.32,0.63,Manganiferous Gondite
BH-MOIL-1004,21.82667026186195,80.20307854293551,129.6,0.441,0.42,0.952,33.25,0.464,0.486,30.04,0.54,Quartz-Spessartite Rock
BH-MOIL-1005,21.818465746897193,80.14836595069247,69.4,0.215,0.153,0.712,31.63,0.413,0.383,22.15,0.298,Quartz-Spessartite Rock
BH-MOIL-1006,21.79171447736935,80.16146056246173,77.1,0.429,0.501,1.168,33.73,0.384,0.519,25.46,0.388,Quartz-Spessartite Rock
BH-MOIL-1007,21.84126186805093,80.19589998078834,133.6,0.346,0.458,1.324,35.43,0.43,0.31,22.67,0.296,Quartz-Spessartite Rock
BH-MOIL-1008,21.778978627486904,80.22013277714682,195.9,0.224,0.263,1.174,32.77,0.519,0.438,21.64,0.266,Quartz-Spessartite Rock
BH-MOIL-1009,21.80700945073305,80.16571932868185,139.0,0.416,0.403,0.969,30.67,0.468,0.453,26.9,0.372,Quartz-Spessartite Rock
BH-MOIL-1010,21.77087193042805,80.19489568333626,179.5,0.259,0.182,0.703,32.67,0.529,0.459,24.46,0.438,Quartz-Spessartite Rock
BH-MOIL-1011,21.763018481755424,80.20235774554882,157.9,0.297,0.256,0.862,34.49,0.415,0.43,21.56,0.377,Quartz-Spessartite Rock
BH-MOIL-1012,21.832168235230256,80.1657711240601,122.6,0.179,0.247,1.38,36.09,0.439,0.492,24.97,0.338,Quartz-Spessartite Rock
BH-MOIL-1013,21.823100864006012,80.18785032240957,176.8,0.295,0.192,0.651,30.99,0.311,0.579,34.57,0.7,Manganiferous Gondite
BH-MOIL-1014,21.786701130032213,80.14933401331955,196.2,0.432,0.31,0.718,33.4,0.409,0.528,23.09,0.285,Quartz-Spessartite Rock
BH-MOIL-1015,21.8001225902479,80.1886842874796,76.7,0.408,0.403,0.988,28.98,0.292,0.519,41.78,0.806,Manganiferous Gondite
BH-MOIL-1016,21.841711948532872,80.19669024461116,110.4,0.291,0.217,0.746,31.57,0.444,0.476,19.47,0.204,Mica Schist
BH-MOIL-1017,21.767779446880724,80.19518823658161,69.6,0.419,0.56,1.336,30.5,0.431,0.501,22.01,0.257,Quartz-Spessartite Rock
BH-MOIL-1018,21.836941139246452,80.19038344746603,117.2,0.379,0.491,1.295,31.33,0.413,0.429,23.29,0.344,Quartz-Spessartite Rock
BH-MOIL-1019,21.820426067956788,80.19856916378347,216.9,0.152,0.148,0.974,30.96,0.411,0.375,32.37,0.58,Manganiferous Gondite
BH-MOIL-1020,21.79585053118675,80.16698361157336,73.7,0.425,0.427,1.005,34.74,0.38,0.315,37.05,0.766,Manganiferous Gondite
BH-MOIL-1021,21.83961970058278,80.21880935864066,190.5,0.175,0.182,1.04,31.5,0.452,0.318,21.83,0.389,Quartz-Spessartite Rock
BH-MOIL-1022,21.783316244653772,80.20742564815589,113.7,0.26,0.368,1.415,36.97,0.472,0.516,21.95,0.282,Quartz-Spessartite Rock
BH-MOIL-1023,21.839596749197533,80.19103442326531,130.7,0.367,0.255,0.695,34.09,0.465,0.556,18.73,0.303,Mica Schist
BH-MOIL-1024,21.768508917219247,80.15956599687847,141.0,0.343,0.287,0.837,30.84,0.516,0.374,22.43,0.346,Quartz-Spessartite Rock
BH-MOIL-1025,21.79563799322687,80.1913937831433,126.9,0.428,0.348,0.813,33.17,0.299,0.419,38.69,0.723,Manganiferous Gondite
BH-MOIL-1026,21.78739417570175,80.20484915939316,39.1,0.271,0.393,1.45,36.97,0.41,0.364,22.88,0.408,Quartz-Spessartite Rock
BH-MOIL-1027,21.832569133894914,80.21504161939878,97.1,0.172,0.227,1.32,34.92,0.48,0.596,25.02,0.317,Quartz-Spessartite Rock
BH-MOIL-1028,21.827468330809236,80.16865030017601,154.4,0.43,0.326,0.758,30.81,0.414,0.466,19.82,0.275,Mica Schist
BH-MOIL-1029,21.819508974971104,80.1609877849862,148.7,0.207,0.215,1.039,36.34,0.51,0.328,22.14,0.284,Quartz-Spessartite Rock
BH-MOIL-1030,21.76238365512702,80.20638953784157,149.2,0.206,0.256,1.243,33.86,0.456,0.303,20.62,0.341,Quartz-Spessartite Rock
BH-MOIL-1031,21.83441428572479,80.18834722313645,187.7,0.312,0.24,0.769,30.76,0.43,0.57,24.71,0.445,Quartz-Spessartite Rock
BH-MOIL-1032,21.83401397092212,80.16150612306718,73.7,0.154,0.196,1.273,36.19,0.453,0.486,21.31,0.366,Quartz-Spessartite Rock
BH-MOIL-1033,21.831268455697597,80.22279648263448,183.1,0.411,0.275,0.669,35.16,0.443,0.579,23.13,0.404,Quartz-Spessartite Rock
BH-MOIL-1034,21.82695994532595,80.16604445676757,178.5,0.156,0.21,1.346,36.01,0.429,0.545,23.78,0.331,Quartz-Spessartite Rock
BH-MOIL-1035,21.82572763993223,80.16290763899262,29.6,0.184,0.168,0.913,36.05,0.526,0.384,23.1,0.329,Quartz-Spessartite Rock
BH-MOIL-1036,21.84059197497586,80.1875972585983,208.2,0.158,0.225,1.424,31.25,0.525,0.38,21.67,0.297,Quartz-Spessartite Rock
BH-MOIL-1037,21.820383604852214,80.1697941851356,143.2,0.289,0.277,0.958,33.79,0.416,0.513,20.9,0.355,Quartz-Spessartite Rock
BH-MOIL-1038,21.805176159767424,80.20225439993159,169.7,0.341,0.321,0.941,29.1,0.387,0.399,32.82,0.656,Manganiferous Gondite
BH-MOIL-1039,21.819680341041117,80.16872578145691,85.3,0.255,0.248,0.973,31.87,0.403,0.426,27.15,0.48,Quartz-Spessartite Rock
BH-MOIL-1040,21.834324443658605,80.19394119327612,83.7,0.301,0.196,0.651,31.84,0.444,0.474,23.45,0.348,Quartz-Spessartite Rock
BH-MOIL-1041,21.797472783944382,80.16179611207913,117.3,0.417,0.537,1.288,30.5,0.362,0.455,30.63,0.517,Quartz-Spessartite Rock
BH-MOIL-1042,21.827573877162934,80.20479105100327,156.2,0.194,0.157,0.809,29.74,0.401,0.443,27.75,0.399,Quartz-Spessartite Rock
BH-MOIL-1043,21.795255280879818,80.19508123045902,62.9,0.35,0.366,1.046,30.15,0.374,0.302,37.79,0.775,Manganiferous Gondite
BH-MOIL-1044,21.770626983725084,80.17871169551543,59.3,0.436,0.464,1.064,30.35,0.432,0.555,22.48,0.377,Quartz-Spessartite Rock
BH-MOIL-1045,21.815506218606906,80.22373139624533,141.1,0.434,0.592,1.364,34.29,0.494,0.451,26.45,0.441,Quartz-Spessartite Rock
BH-MOIL-1046,21.83387664825866,80.20419243537278,117.6,0.206,0.175,0.849,34.46,0.5,0.456,22.71,0.298,Quartz-Spessartite Rock
BH-MOIL-1047,21.76829866830918,80.16755825206906,78.0,0.226,0.245,1.084,30.97,0.43,0.508,24.32,0.307,Quartz-Spessartite Rock
BH-MOIL-1048,21.794707949573326,80.18810889124032,106.1,0.188,0.185,0.984,34.29,0.33,0.509,42.43,0.896,Manganiferous Gondite
BH-MOIL-1049,21.792530482314216,80.14517168668672,93.6,0.369,0.492,1.333,36.67,0.454,0.524,24.32,0.393,Quartz-Spessartite Rock
BH-MOIL-1050,21.779743095545903,80.16225373076972,110.0,0.13,0.119,0.915,34.75,0.453,0.35,21.89,0.253,Quartz-Spessartite Rock
BH-MOIL-1051,21.811880556877924,80.14685731615242,101.8,0.306,0.206,0.673,34.5,0.418,0.439,17.88,0.188,Mica Schist
BH-MOIL-1052,21.77903282273692,80.17084766439051,173.4,0.245,0.307,1.253,35.41,0.403,0.325,23.83,0.37,Quartz-Spessartite Rock
BH-MOIL-1053,21.842092626280735,80.17269682749762,151.8,0.378,0.443,1.172,35.28,0.523,0.36,19.92,0.205,Mica Schist
BH-MOIL-1054,21.772197677989936,80.1982567075696,135.0,0.192,0.232,1.208,35.37,0.422,0.482,25.17,0.338,Quartz-Spessartite Rock
BH-MOIL-1055,21.827644093944887,80.22187766184274,46.1,0.128,0.115,0.898,34.74,0.525,0.419,23.55,0.289,Quartz-Spessartite Rock
BH-MOIL-1056,21.817349153274638,80.19487939164809,44.9,0.375,0.499,1.331,32.31,0.281,0.595,42.19,0.823,Manganiferous Gondite
BH-MOIL-1057,21.796370241058778,80.17434567009745,123.7,0.233,0.31,1.33,33.6,0.259,0.588,43.45,0.933,Manganiferous Gondite
BH-MOIL-1058,21.818684691496486,80.17953897160062,168.1,0.439,0.38,0.866,34.47,0.385,0.445,31.61,0.606,Quartz-Spessartite Rock
BH-MOIL-1059,21.78357164304394,80.21283705280155,187.0,0.149,0.202,1.356,31.71,0.46,0.483,23.25,0.273,Quartz-Spessartite Rock
BH-MOIL-1060,21.830176226904996,80.15924718857262,66.4,0.383,0.353,0.922,36.16,0.491,0.383,18.72,0.301,Mica Schist
BH-MOIL-1061,21.76894903695664,80.20230597312835,120.3,0.37,0.445,1.203,34.52,0.464,0.538,20.56,0.233,Quartz-Spessartite Rock
BH-MOIL-1062,21.817442972423617,80.16919648241041,138.4,0.276,0.297,1.076,32.57,0.467,0.399,27.8,0.432,Quartz-Spessartite Rock
BH-MOIL-1063,21.782212294096073,80.1543524707802,62.6,0.159,0.172,1.082,35.34,0.424,0.365,22.76,0.372,Quartz-Spessartite Rock
BH-MOIL-1064,21.840228561830642,80.18667094952869,80.2,0.153,0.123,0.804,31.59,0.423,0.304,21.86,0.276,Quartz-Spessartite Rock
BH-MOIL-1065,21.84004359448822,80.1889687173439,161.0,0.162,0.218,1.346,33.44,0.513,0.472,23.84,0.355,Quartz-Spessartite Rock
BH-MOIL-1066,21.776849093631206,80.1488101373747,208.5,0.278,0.364,1.309,32.8,0.41,0.489,20.77,0.227,Quartz-Spessartite Rock
BH-MOIL-1067,21.807127167766765,80.16900684094739,218.8,0.159,0.201,1.264,33.06,0.418,0.368,33.97,0.623,Manganiferous Gondite
BH-MOIL-1068,21.797517680321544,80.2135133332661,218.1,0.221,0.253,1.145,34.27,0.496,0.584,21.11,0.246,Quartz-Spessartite Rock
BH-MOIL-1069,21.814934250975362,80.15726456747048,58.9,0.145,0.095,0.655,33.15,0.477,0.387,19.07,0.272,Mica Schist
BH-MOIL-1070,21.8183390046475,80.18102250611257,159.0,0.425,0.544,1.28,33.07,0.393,0.58,34.45,0.651,Manganiferous Gondite
BH-MOIL-1071,21.8139107778722,80.21737291561702,186.2,0.144,0.113,0.785,32.15,0.497,0.471,20.05,0.204,Quartz-Spessartite Rock
BH-MOIL-1072,21.817194239296967,80.20067869479806,208.8,0.285,0.298,1.046,29.06,0.298,0.43,34.37,0.601,Manganiferous Gondite
BH-MOIL-1073,21.76940615093048,80.22165288817543,188.0,0.31,0.437,1.41,37.0,0.487,0.381,21.13,0.334,Quartz-Spessartite Rock
BH-MOIL-1074,21.79974006586013,80.1968207591547,203.6,0.18,0.201,1.117,32.7,0.339,0.327,36.93,0.682,Manganiferous Gondite
BH-MOIL-1075,21.815710680761693,80.21331864755203,89.3,0.349,0.307,0.88,36.28,0.482,0.465,24.49,0.352,Quartz-Spessartite Rock
BH-MOIL-1076,21.78796190290208,80.22231477814469,103.8,0.29,0.418,1.441,34.6,0.471,0.424,22.3,0.302,Quartz-Spessartite Rock
BH-MOIL-1077,21.822615452324445,80.19473269937161,173.2,0.187,0.204,1.091,35.12,0.359,0.509,32.02,0.655,Manganiferous Gondite
BH-MOIL-1078,21.810809733366558,80.16384379698621,55.9,0.302,0.33,1.093,30.23,0.498,0.574,26.31,0.368,Quartz-Spessartite Rock
BH-MOIL-1079,21.82867145390151,80.18457004037658,164.7,0.288,0.25,0.868,35.23,0.484,0.373,27.51,0.442,Quartz-Spessartite Rock
BH-MOIL-1080,21.835849451994523,80.18535927132744,196.5,0.405,0.353,0.872,35.53,0.454,0.58,21.98,0.367,Quartz-Spessartite Rock
BH-MOIL-1081,21.784727118662627,80.16858446798174,139.5,0.45,0.469,1.042,30.23,0.412,0.404,30.01,0.534,Quartz-Spessartite Rock
BH-MOIL-1082,21.798527569349318,80.17044218801833,61.8,0.35,0.388,1.109,29.92,0.378,0.313,39.42,0.807,Manganiferous Gondite
BH-MOIL-1083,21.82701271220519,80.17558630019929,154.4,0.391,0.561,1.435,33.25,0.389,0.451,26.95,0.505,Quartz-Spessartite Rock
