date,mine_sector,rainfall_mm_day,temperature_c,soil_moisture_pct,fleet_capacity_pct,blasting_events,target_yield_mt,actual_yield_mt,shortfall_mt,condition_type,root_cause,suggested_action,feasibility_pct,recovered_yield_mt
2023-01-01,Balaghat Central Mine,11.6,22.3,44.0,94.7,4,1500,11388,3612,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,92.8,3612
2023-01-01,Mansar West Mine,11.6,22.3,44.0,94.7,4,1500,13864,1136,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,96.9,1136
2023-01-01,Dongri Buzurg Mine,11.6,22.3,44.0,94.7,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,89.3,0
2023-01-01,Ukwa East Mine,11.6,22.3,44.0,94.7,4,1500,14490,510,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,90.7,510
2023-01-02,Balaghat Central Mine,5.1,21.9,28.4,78.1,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,93.3,0
2023-01-02,Mansar West Mine,5.1,21.9,28.4,78.1,2,1500,14497,503,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,90.3,503
2023-01-02,Dongri Buzurg Mine,5.1,21.9,28.4,78.1,2,1500,14121,879,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,89.0,879
2023-01-02,Ukwa East Mine,5.1,21.9,28.4,78.1,2,1500,11723,3277,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,86.4,3277
2023-01-03,Balaghat Central Mine,16.5,28.2,34.9,92.9,4,1500,14535,465,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,86.0,465
2023-01-03,Mansar West Mine,16.5,28.2,34.9,92.9,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,94.7,0
2023-01-03,Dongri Buzurg Mine,16.5,28.2,34.9,92.9,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,87.8,0
2023-01-03,Ukwa East Mine,16.5,28.2,34.9,92.9,4,1500,11820,3180,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,86.2,3180
2023-01-04,Balaghat Central Mine,15.9,24.5,25.8,66.3,2,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,88.6,14800
2023-01-04,Mansar West Mine,15.9,24.5,25.8,66.3,2,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,94.9,14800
2023-01-04,Dongri Buzurg Mine,15.9,24.5,25.8,66.3,2,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,95.8,14800
2023-01-04,Ukwa East Mine,15.9,24.5,25.8,66.3,2,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,96.7,14800
2023-01-05,Balaghat Central Mine,11.4,22.0,40.3,76.9,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,85.1,0
2023-01-05,Mansar West Mine,11.4,22.0,40.3,76.9,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,86.1,0
2023-01-05,Dongri Buzurg Mine,11.4,22.0,40.3,76.9,2,1500,12112,2888,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,97.3,2888
2023-01-05,Ukwa East Mine,11.4,22.0,40.3,76.9,2,1500,14412,588,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,96.4,588
2023-01-06,Balaghat Central Mine,16.8,21.4,36.2,88.3,4,1500,14539,461,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,87.3,461
2023-01-06,Mansar West Mine,16.8,21.4,36.2,88.3,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,95.3,0
2023-01-06,Dongri Buzurg Mine,16.8,21.4,36.2,88.3,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,90.8,0
2023-01-06,Ukwa East Mine,16.8,21.4,36.2,88.3,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,96.6,0
2023-01-07,Balaghat Central Mine,2.8,31.5,41.5,69.5,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,98.0,14800
2023-01-07,Mansar West Mine,2.8,31.5,41.5,69.5,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,91.0,14800
2023-01-07,Dongri Buzurg Mine,2.8,31.5,41.5,69.5,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,89.3,14800
2023-01-07,Ukwa East Mine,2.8,31.5,41.5,69.5,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,88.6,14800
2023-01-08,Balaghat Central Mine,3.1,25.6,27.7,77.5,3,1500,14908,92,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,97.7,92
2023-01-08,Mansar West Mine,3.1,25.6,27.7,77.5,3,1500,12405,2595,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,87.3,2595
2023-01-08,Dongri Buzurg Mine,3.1,25.6,27.7,77.5,3,1500,11803,3197,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,93.0,3197
2023-01-08,Ukwa East Mine,3.1,25.6,27.7,77.5,3,1500,14716,284,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,93.5,284
2023-01-09,Balaghat Central Mine,0.9,24.0,38.7,75.3,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,89.3,0
2023-01-09,Mansar West Mine,0.9,24.0,38.7,75.3,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,97.2,0
2023-01-09,Dongri Buzurg Mine,0.9,24.0,38.7,75.3,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,96.6,0
2023-01-09,Ukwa East Mine,0.9,24.0,38.7,75.3,2,1500,10315,4685,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,90.2,4685
2023-01-10,Balaghat Central Mine,1.1,22.6,17.0,61.4,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,85.3,14800
2023-01-10,Mansar West Mine,1.1,22.6,17.0,61.4,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,96.2,14800
2023-01-10,Dongri Buzurg Mine,1.1,22.6,17.0,61.4,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,95.7,14800
2023-01-10,Ukwa East Mine,1.1,22.6,17.0,61.4,1,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,91.7,14800
2023-01-11,Balaghat Central Mine,12.5,22.5,28.8,78.9,3,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,88.1,0
2023-01-11,Mansar West Mine,12.5,22.5,28.8,78.9,3,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,90.7,0
2023-01-11,Dongri Buzurg Mine,12.5,22.5,28.8,78.9,3,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,85.5,0
2023-01-11,Ukwa East Mine,12.5,22.5,28.8,78.9,3,1500,14250,750,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,85.6,750
2023-01-12,Balaghat Central Mine,19.9,28.9,28.2,83.7,3,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,85.4,0
2023-01-12,Mansar West Mine,19.9,28.9,28.2,83.7,3,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,96.7,0
2023-01-12,Dongri Buzurg Mine,19.9,28.9,28.2,83.7,3,1500,10614,4386,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,95.9,4386
2023-01-12,Ukwa East Mine,19.9,28.9,28.2,83.7,3,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,85.2,0
2023-01-13,Balaghat Central Mine,18.5,28.0,38.1,96.0,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,85.8,0
2023-01-13,Mansar West Mine,18.5,28.0,38.1,96.0,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,94.0,0
2023-01-13,Dongri Buzurg Mine,18.5,28.0,38.1,96.0,4,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,94.0,0
2023-01-13,Ukwa East Mine,18.5,28.0,38.1,96.0,4,1500,10460,4540,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,97.7,4540
2023-01-14,Balaghat Central Mine,16.0,24.1,36.9,61.3,4,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,89.6,14800
2023-01-14,Mansar West Mine,16.0,24.1,36.9,61.3,4,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,93.4,14800
2023-01-14,Dongri Buzurg Mine,16.0,24.1,36.9,61.3,4,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,94.5,14800
2023-01-14,Ukwa East Mine,16.0,24.1,36.9,61.3,4,1500,5000,18500,FLEET_BREAKDOWN,Haul Truck & Shovel Mechanical Failure,Reallocate Backup Fleet & Deploy Mobile Mechanics,93.5,14800
2023-01-15,Balaghat Central Mine,3.4,31.0,38.5,86.8,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,87.5,0
2023-01-15,Mansar West Mine,3.4,31.0,38.5,86.8,2,1500,14719,281,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,91.7,281
2023-01-15,Dongri Buzurg Mine,3.4,31.0,38.5,86.8,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,91.6,0
2023-01-15,Ukwa East Mine,3.4,31.0,38.5,86.8,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,87.9,0
2023-01-16,Balaghat Central Mine,11.9,31.2,25.0,95.0,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,86.7,0
2023-01-16,Mansar West Mine,11.9,31.2,25.0,95.0,2,1500,15000,0,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,86.4,0
2023-01-16,Dongri Buzurg Mine,11.9,31.2,25.0,95.0,2,1500,10746,4254,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,94.3,4254
2023-01-16,Ukwa East Mine,11.9,31.2,25.0,95.0,2,1500,13882,1118,NORMAL,Optimal Mine Operations,Maintain Standard Production Schedule,97.9,1118
